st,log.inv,log.inv.prec
1,1.544244649,13.5386776
10A,-2.666961279,4.723479734
10C,-3.50212881,0.502162872
10F,-3.949034538,0.613539059
11A,-4.538101521,1.600737742
11C,-3.350318293,0.467123435
11D,-3.330250532,0.460435124
11F,-3.377098385,0.487519502
12A,-3.314782247,0.479146431
12F,0.435017004,23.42246461
13,-4.056285716,0.61170197
14,-0.688181887,22.00293046
15A,-2.946576807,5.690113871
15B/C,-2.786694419,8.654749393
15F,-4.145137908,0.62464905
16A,-3.492188545,0.46686485
16F,-2.213350391,7.463401553
17A,-3.892872999,0.57352153
17F,-3.198959144,3.102501388
18A,-0.735581825,1.579972536
18B,-0.144459327,3.106273751
18C,-0.418211672,13.45840354
18F,-2.374930586,0.976832478
19A,-1.237275382,43.10733415
19C,-3.312122018,0.481983552
19F,-1.993831679,14.69637788
20,-2.529648462,1.031729476
21,-3.027598927,2.952940995
22A,-2.546305038,1.069048125
22B,-3.236075788,0.449990012
22F,-2.171708972,14.80385187
23A,-4.187417861,1.556064628
23B,-3.057101324,5.954648859
23F,-1.75296922,14.65634945
24B,-3.390740141,0.478312004
24F,-3.402996684,0.467405234
27,-0.768861581,1.251889606
28,-3.476648338,0.511874963
29,-3.370530905,0.483316104
3,-1.420883938,14.52997892
31,-3.44561595,2.207444052
32F,-3.357340152,0.466053402
33A,-3.670340852,0.543516051
33F,-2.38832061,4.503486496
34,-3.915143939,1.475678942
35A,-4.555427006,0.739586126
35B,-3.489875739,5.085891773
35C,-3.582713176,0.512322582
35F,-4.955117901,0.818107237
36,-3.287099412,0.449015748
37,-3.880770142,0.610683758
38,-2.004937634,4.27811328
39,-3.41010433,0.496406573
4,-0.200264491,13.67801294
43,-3.252321797,0.442860501
46,-3.426044164,0.467313541
5,0.936722662,4.237580427
6A/C,-2.893469602,16.82598655
6B,-1.379298293,26.46852584
7A,-3.788228333,0.559256563
7C,-3.721932956,1.394761064
7F,0.77219161,23.55828874
8,-1.455908137,4.028197934
9A,-3.583873693,0.504020714
9L,-2.412945699,1.727504687
9N,-2.82339428,1.122619075
9V,-0.955331015,14.8187305
NT,-3.184823091,4.960866727
