"YEAR","age_category","HIV_population","denominator"
"2005","0 years","Negative","1007714.26"
"2005","0 years","Positive","  43904.74"
"2005","1 years","Negative","915962.29"
"2005","1 years","Positive"," 34753.71"
"2005","2 years","Negative","876641.84"
"2005","2 years","Positive"," 34684.16"
"2005","3 years","Negative","869345.01"
"2005","3 years","Positive"," 33149.99"
"2005","4 years","Negative","860584.61"
"2005","4 years","Positive"," 30621.39"
"2005","5 - 9 years","Negative","4466606.2"
"2005","5 - 9 years","Positive"," 113671.8"
"2005","10 - 14 years","Negative","4767519.52"
"2005","10 - 14 years","Positive","  40367.48"
"2005","15 - 19 years","Negative","4911675.5"
"2005","15 - 19 years","Positive"," 188542.5"
"2005","20 - 24 years","Negative","4073167"
"2005","20 - 24 years","Positive"," 807742"
"2005","25 - 29 years","Negative","3118072"
"2005","25 - 29 years","Positive"," 989945"
"2005","30 - 34 years","Negative","2822809"
"2005","30 - 34 years","Positive"," 838206"
"2005","35 - 39 years","Negative","2542531.1"
"2005","35 - 39 years","Positive"," 616717.9"
"2005","40 - 44 years","Negative","2387609.6"
"2005","40 - 44 years","Positive"," 456037.4"
"2005","45 - 49 years","Negative","2067375.9"
"2005","45 - 49 years","Positive"," 292394.1"
"2005","50 - 54 years","Negative","1707877.4"
"2005","50 - 54 years","Positive"," 160950.6"
"2005","55 - 59 years","Negative","1350150.61"
"2005","55 - 59 years","Positive","  74225.39"
"2005","60 - 64 years","Negative","1033873.09"
"2005","60 - 64 years","Positive","  27820.31"
"2005","65 - 69 years","Negative","881164.39"
"2005","65 - 69 years","Positive"," 10349.61"
"2005","70 - 74 years","Negative","639908.588"
"2005","70 - 74 years","Positive","  3077.512"
"2005","75 - 79 years","Negative","451068.5629"
"2005","75 - 79 years","Positive","   929.4371"
"2005","80 - 84 years","Negative","249060.7555"
"2005","80 - 84 years","Positive","   255.8445"
"2005","85 - 89 years","Negative","141787.50913"
"2005","85 - 89 years","Positive","    86.83087"
"2005","90+ years","Negative","48797.41112"
"2005","90+ years","Positive","   22.88888"
"2006","0 years","Negative","1038387.63"
"2006","0 years","Positive","  42297.37"
"2006","1 years","Negative","982394.1"
"2006","1 years","Positive"," 36131.9"
"2006","2 years","Negative","904787.39"
"2006","2 years","Positive"," 34252.61"
"2006","3 years","Negative","870577.4"
"2006","3 years","Positive"," 33181.6"
"2006","4 years","Negative","864736.26"
"2006","4 years","Positive"," 31548.74"
"2006","5 - 9 years","Negative","4398635.6"
"2006","5 - 9 years","Positive"," 122635.4"
"2006","10 - 14 years","Negative","4709384.74"
"2006","10 - 14 years","Positive","  50906.26"
"2006","15 - 19 years","Negative","4884385.9"
"2006","15 - 19 years","Positive"," 176742.1"
"2006","20 - 24 years","Negative","4210367.2"
"2006","20 - 24 years","Positive"," 793269.8"
"2006","25 - 29 years","Negative","3164904"
"2006","25 - 29 years","Positive","1021086"
"2006","30 - 34 years","Negative","2825388.2"
"2006","30 - 34 years","Positive"," 889318.8"
"2006","35 - 39 years","Negative","2532590.3"
"2006","35 - 39 years","Positive"," 653123.7"
"2006","40 - 44 years","Negative","2395035.1"
