YEAR,age_category,HIV,SEROTYPE,viable_case_count
2005,0 - 5 months,Negative,1,1
2005,0 - 5 months,Negative,10A,1
2005,0 - 5 months,Negative,11A,1
2005,0 - 5 months,Negative,12F,2
2005,0 - 5 months,Negative,14,2
2005,0 - 5 months,Negative,18C,1
2005,0 - 5 months,Negative,19A,6
2005,0 - 5 months,Negative,19B,1
2005,0 - 5 months,Negative,19F,2
2005,0 - 5 months,Negative,20,1
2005,0 - 5 months,Negative,23F,3
2005,0 - 5 months,Negative,5,2
2005,0 - 5 months,Negative,6A,5
2005,0 - 5 months,Negative,6B,6
2005,0 - 5 months,Negative,7C,1
2005,0 - 5 months,Negative,8,3
2005,0 - 5 months,Negative,9N,1
2005,0 - 5 months,Positive,10A,1
2005,0 - 5 months,Positive,13,1
2005,0 - 5 months,Positive,14,25
2005,0 - 5 months,Positive,15B/C,2
2005,0 - 5 months,Positive,17F,1
2005,0 - 5 months,Positive,18C,2
2005,0 - 5 months,Positive,19A,6
2005,0 - 5 months,Positive,19F,9
2005,0 - 5 months,Positive,23F,8
2005,0 - 5 months,Positive,27,1
2005,0 - 5 months,Positive,29,1
2005,0 - 5 months,Positive,3,1
2005,0 - 5 months,Positive,35B,1
2005,0 - 5 months,Positive,38,1
2005,0 - 5 months,Positive,5,1
2005,0 - 5 months,Positive,6A,10
2005,0 - 5 months,Positive,6B,8
2005,0 - 5 months,Positive,6C,1
2005,0 - 5 months,Positive,7C,1
2005,0 - 5 months,Positive,8,2
2005,0 - 5 months,Positive,9N,1
2005,0 - 5 months,Positive,9V,3
2005,0 - 5 months,Unknown,,1
2005,0 - 5 months,Unknown,1,11
2005,0 - 5 months,Unknown,10A,1
2005,0 - 5 months,Unknown,12F,8
2005,0 - 5 months,Unknown,13,5
2005,0 - 5 months,Unknown,14,31
2005,0 - 5 months,Unknown,15A,2
2005,0 - 5 months,Unknown,15B/C,3
2005,0 - 5 months,Unknown,16,2
2005,0 - 5 months,Unknown,16F,4
2005,0 - 5 months,Unknown,18A,1
2005,0 - 5 months,Unknown,18B,3
2005,0 - 5 months,Unknown,18C,7
2005,0 - 5 months,Unknown,19A,18
2005,0 - 5 months,Unknown,19F,17
2005,0 - 5 months,Unknown,23B,1
2005,0 - 5 months,Unknown,23F,27
2005,0 - 5 months,Unknown,29,5
2005,0 - 5 months,Unknown,3,5
2005,0 - 5 months,Unknown,33A,1
2005,0 - 5 months,Unknown,33F,1
2005,0 - 5 months,Unknown,34,3
2005,0 - 5 months,Unknown,35B,1
2005,0 - 5 months,Unknown,35F,1
2005,0 - 5 months,Unknown,38,1
2005,0 - 5 months,Unknown,4,6
2005,0 - 5 months,Unknown,5,13
2005,0 - 5 months,Unknown,6A,22
2005,0 - 5 months,Unknown,6B,28
2005,0 - 5 months,Unknown,7C,3
2005,0 - 5 months,Unknown,8,14
2005,0 - 5 months,Unknown,9L,1
2005,0 - 5 months,Unknown,9N,4
2005,0 - 5 months,Unknown,9V,9
2005,0 - 5 months,Unknown,NT,1
2005,6 - 11 months,Negative,1,1
2005,6 - 11 months,Negative,14,2
2005,6 - 11 months,Negative,15A,1
2005,6 - 11 months,Negative,16,1
2005,6 - 11 months,Negative,19F,2
2005,6 - 11 months,Negative,20,1
2005,6 - 11 months,Negative,23F,2
2005,6 - 11 months,Negative,4,1
2005,6 - 11 months,Negative,6A,7
2005,6 - 11 months,Negative,6B,3
2005,6 - 11 months,Negative,9V,1
2005,6 - 11 months,Positive,14,12
2005,6 - 11 months,Positive,17F,1
2005,6 - 11 months,Positive,19A,12
2005,6 - 11 months,Positive,19F,12
2005,6 - 11 months,Positive,23A,1
2005,6 - 11 months,Positive,23F,8
2005,6 - 11 months,Positive,29,2
2005,6 - 11 months,Positive,35B,1
2005,6 - 11 months,Positive,4,2
2005,6 - 11 months,Positive,47,1
2005,6 - 11 months,Positive,6A,7
2005,6 - 11 months,Positive,6B,10
2005,6 - 11 months,Positive,9V,3
2005,6 - 11 months,Unknown,1,3
2005,6 - 11 months,Unknown,10A,3
2005,6 - 11 months,Unknown,10B,1
2005,6 - 11 months,Unknown,11A,1
2005,6 - 11 months,Unknown,13,4
2005,6 - 11 months,Unknown,14,25
2005,6 - 11 months,Unknown,16,1
2005,6 - 11 months,Unknown,16F,2
2005,6 - 11 months,Unknown,17F,1
2005,6 - 11 months,Unknown,18C,4
2005,6 - 11 months,Unknown,18F,1
2005,6 - 11 months,Unknown,19A,13
2005,6 - 11 months,Unknown,19F,23
2005,6 - 11 months,Unknown,22A,1
2005,6 - 11 months,Unknown,23F,20
2005,6 - 11 months,Unknown,25,1
2005,6 - 11 months,Unknown,28,1
2005,6 - 11 months,Unknown,3,3
2005,6 - 11 months,Unknown,34,3
2005,6 - 11 months,Unknown,35B,1
2005,6 - 11 months,Unknown,4,3
2005,6 - 11 months,Unknown,5,2
2005,6 - 11 months,Unknown,6A,21
2005,6 - 11 months,Unknown,6B,18
2005,6 - 11 months,Unknown,7C,1
2005,6 - 11 months,Unknown,7F,2
2005,6 - 11 months,Unknown,8,2
2005,6 - 11 months,Unknown,9N,1
2005,6 - 11 months,Unknown,9V,3
2005,12 - 17 months,Negative,1,1
2005,12 - 17 months,Negative,10A,1
2005,12 - 17 months,Negative,14,1
2005,12 - 17 months,Negative,19A,3
2005,12 - 17 months,Negative,23F,2
2005,12 - 17 months,Negative,6A,1
2005,12 - 17 months,Negative,6A/19F,1
2005,12 - 17 months,Negative,6B,2
2005,12 - 17 months,Negative,9V,2
2005,12 - 17 months,Positive,1,1
2005,12 - 17 months,Positive,10A,1
2005,12 - 17 months,Positive,12F,1
2005,12 - 17 months,Positive,14,9
2005,12 - 17 months,Positive,17F,1
2005,12 - 17 months,Positive,18C,1
2005,12 - 17 months,Positive,18C/14,1
2005,12 - 17 months,Positive,19A,3
2005,12 - 17 months,Positive,19F,6
2005,12 - 17 months,Positive,23F,8
2005,12 - 17 months,Positive,3,1
2005,12 - 17 months,Positive,4,3
2005,12 - 17 months,Positive,6A,5
2005,12 - 17 months,Positive,6B,6
2005,12 - 17 months,Positive,9V,3
2005,12 - 17 months,Unknown,1,2
2005,12 - 17 months,Unknown,11A,1
2005,12 - 17 months,Unknown,12B,1
2005,12 - 17 months,Unknown,12F,1
2005,12 - 17 months,Unknown,14,20
2005,12 - 17 months,Unknown,15B/C,2
2005,12 - 17 months,Unknown,18C,2
2005,12 - 17 months,Unknown,19A,8
2005,12 - 17 months,Unknown,19F,10
2005,12 - 17 months,Unknown,21,1
2005,12 - 17 months,Unknown,23F,15
2005,12 - 17 months,Unknown,3,1
2005,12 - 17 months,Unknown,34,1
2005,12 - 17 months,Unknown,35B,1
2005,12 - 17 months,Unknown,4,3
2005,12 - 17 months,Unknown,6A,17
2005,12 - 17 months,Unknown,6A/14,1
2005,12 - 17 months,Unknown,6B,16
2005,12 - 17 months,Unknown,7C,1
2005,12 - 17 months,Unknown,9V,3
2005,18 - 23 months,Negative,1,1
2005,18 - 23 months,Negative,14,1
2005,18 - 23 months,Negative,19A,2
2005,18 - 23 months,Negative,19F,2
2005,18 - 23 months,Negative,6A,1
2005,18 - 23 months,Negative,6B,4
2005,18 - 23 months,Positive,1,1
2005,18 - 23 months,Positive,10A,1
2005,18 - 23 months,Positive,13,1
2005,18 - 23 months,Positive,14,7
2005,18 - 23 months,Positive,19A,5
2005,18 - 23 months,Positive,19F,1
2005,18 - 23 months,Positive,23A,1
2005,18 - 23 months,Positive,23F,2
2005,18 - 23 months,Positive,34,1
2005,18 - 23 months,Positive,35B,1
2005,18 - 23 months,Positive,4,1
2005,18 - 23 months,Positive,6A,2
2005,18 - 23 months,Positive,6B,1
2005,18 - 23 months,Positive,9N,1
2005,18 - 23 months,Unknown,1,5
2005,18 - 23 months,Unknown,14,10
2005,18 - 23 months,Unknown,16F,1
2005,18 - 23 months,Unknown,18C,1
2005,18 - 23 months,Unknown,19A,7
2005,18 - 23 months,Unknown,19F,4
2005,18 - 23 months,Unknown,23F,6
2005,18 - 23 months,Unknown,29,1
2005,18 - 23 months,Unknown,3,1
2005,18 - 23 months,Unknown,6A,7
2005,18 - 23 months,Unknown,6B,11
2005,18 - 23 months,Unknown,7C,1
2005,18 - 23 months,Unknown,7F,1
2005,18 - 23 months,Unknown,8,1
2005,18 - 23 months,Unknown,9N,1
2005,24 - 29 months,Negative,1,2
2005,24 - 29 months,Positive,1,1
2005,24 - 29 months,Positive,14,5
2005,24 - 29 months,Positive,18F,1
2005,24 - 29 months,Positive,19A,3
2005,24 - 29 months,Positive,19F,2
2005,24 - 29 months,Positive,22A,1
2005,24 - 29 months,Positive,23F,6
2005,24 - 29 months,Positive,4,1
2005,24 - 29 months,Positive,6A,2
2005,24 - 29 months,Positive,6B,4
2005,24 - 29 months,Positive,7C,1
2005,24 - 29 months,Positive,9V,3
2005,24 - 29 months,Unknown,1,9
2005,24 - 29 months,Unknown,12F,1
2005,24 - 29 months,Unknown,14,9
2005,24 - 29 months,Unknown,18C,1
2005,24 - 29 months,Unknown,19F,3
2005,24 - 29 months,Unknown,23F,8
2005,24 - 29 months,Unknown,3,1
2005,24 - 29 months,Unknown,33A,1
2005,24 - 29 months,Unknown,35B,1
2005,24 - 29 months,Unknown,5,2
2005,24 - 29 months,Unknown,6A,12
2005,24 - 29 months,Unknown,6B,6
2005,24 - 29 months,Unknown,9V,2
2005,30 - 35 months,Negative,6A,1
2005,30 - 35 months,Positive,1,1
2005,30 - 35 months,Positive,10A,1
2005,30 - 35 months,Positive,14,2
2005,30 - 35 months,Positive,16F,1
2005,30 - 35 months,Positive,19A,1
2005,30 - 35 months,Positive,23F,2
2005,30 - 35 months,Positive,34,1
2005,30 - 35 months,Positive,6A,4
2005,30 - 35 months,Positive,6B,3
2005,30 - 35 months,Positive,9N,1
2005,30 - 35 months,Positive,9V,2
2005,30 - 35 months,Unknown,1,6
2005,30 - 35 months,Unknown,14,3
2005,30 - 35 months,Unknown,16,1
2005,30 - 35 months,Unknown,19F,2
2005,30 - 35 months,Unknown,3,1
2005,30 - 35 months,Unknown,33D,1
2005,30 - 35 months,Unknown,4,1
2005,30 - 35 months,Unknown,6A,3
2005,30 - 35 months,Unknown,6B,7
2005,30 - 35 months,Unknown,9N,1
2005,36 - 41 months,Negative,19A,1
2005,36 - 41 months,Negative,23F,1
2005,36 - 41 months,Positive,1,1
2005,36 - 41 months,Positive,15B/C,2
2005,36 - 41 months,Positive,18C,1
2005,36 - 41 months,Positive,19F,3
2005,36 - 41 months,Positive,23F,2
2005,36 - 41 months,Positive,6B,1
2005,36 - 41 months,Positive,9V,2
2005,36 - 41 months,Unknown,1,6
2005,36 - 41 months,Unknown,14,6
2005,36 - 41 months,Unknown,15B/C,3
2005,36 - 41 months,Unknown,18C,1
2005,36 - 41 months,Unknown,19A,1
