country,yearc,source,pcvg,n,p
Brazil,2005,Proportion of IPD,PCV10G_NVT,46,0.1818181818181818
Brazil,2006,Proportion of IPD,PCV10G_NVT,68,0.2158730158730159
Brazil,2007,Proportion of IPD,PCV10G_NVT,58,0.18831168831168832
Brazil,2008,Proportion of IPD,PCV10G_NVT,70,0.2295081967213114
Brazil,2009,Proportion of IPD,PCV10G_NVT,45,0.24590163934426235
Brazil,2010,Prevalence of carriage,PCV10G_NVT,97.5,0.19461077844311378
Brazil,2010,Proportion of IPD,PCV10G_NVT,79,0.34051724137931033
Brazil,2011,Proportion of IPD,PCV10G_NVT,105,0.4976303317535544
Brazil,2012,Proportion of IPD,PCV10G_NVT,118,0.6820809248554912
Brazil,2013,Prevalence of carriage,PCV10G_NVT,179,0.44749999999999995
Brazil,2013,Proportion of IPD,PCV10G_NVT,121,0.7806451612903225
Brazil,2014,Proportion of IPD,PCV10G_NVT,105,0.8076923076923075
Brazil,2015,Proportion of IPD,PCV10G_NVT,133,0.9366197183098589
Brazil,2016,Proportion of IPD,PCV10G_NVT,137,0.9319727891156464
Brazil,2017,Prevalence of carriage,PCV10G_NVT,296.5,0.5583804143126179
Brazil,2017,Proportion of IPD,PCV10G_NVT,149,0.949044585987261
Brazil,2018,Proportion of IPD,PCV10G_NVT,159,0.9695121951219513
Brazil,2019,Proportion of IPD,PCV10G_NVT,178,0.9569892473118277
Brazil,2005,Proportion of IPD,PCV10S_NVT,51,0.20158102766798416
Brazil,2006,Proportion of IPD,PCV10S_NVT,67,0.21269841269841272
Brazil,2007,Proportion of IPD,PCV10S_NVT,51,0.1655844155844156
Brazil,2008,Proportion of IPD,PCV10S_NVT,69,0.22622950819672122
Brazil,2009,Proportion of IPD,PCV10S_NVT,40,0.21857923497267764
Brazil,2010,Prevalence of carriage,PCV10S_NVT,74.5,0.1487025948103792
Brazil,2010,Proportion of IPD,PCV10S_NVT,66,0.28448275862068967
Brazil,2011,Proportion of IPD,PCV10S_NVT,87,0.4123222748815165
Brazil,2012,Proportion of IPD,PCV10S_NVT,94,0.5433526011560693
Brazil,2013,Prevalence of carriage,PCV10S_NVT,153,0.38250000000000006
Brazil,2013,Proportion of IPD,PCV10S_NVT,95,0.6129032258064514
Brazil,2014,Proportion of IPD,PCV10S_NVT,68,0.5230769230769231
Brazil,2015,Proportion of IPD,PCV10S_NVT,94,0.6619718309859153
Brazil,2016,Proportion of IPD,PCV10S_NVT,90,0.6122448979591838
Brazil,2017,Prevalence of carriage,PCV10S_NVT,264.5,0.49811676082862527
Brazil,2017,Proportion of IPD,PCV10S_NVT,96,0.6114649681528662
Brazil,2018,Proportion of IPD,PCV10S_NVT,88,0.5365853658536586
Brazil,2019,Proportion of IPD,PCV10S_NVT,97,0.5215053763440859
Israel,2009,Prevalence of carriage,PCV10S_NVT,20,0.19801980198019803
Israel,2009,Proportion of IPD,PCV10S_NVT,24,0.23762376237623767
Israel,2010,Prevalence of carriage,PCV10S_NVT,316,0.29178208679593703
Israel,2010,Proportion of IPD,PCV10S_NVT,77,0.3437500000000001
Israel,2011,Prevalence of carriage,PCV10S_NVT,271,0.3413098236775819
Israel,2011,Proportion of IPD,PCV10S_NVT,88,0.35627530364372473
Israel,2012,Prevalence of carriage,PCV10S_NVT,267,0.34540750323415265
Israel,2012,Proportion of IPD,PCV10S_NVT,88,0.6241134751773053
Israel,2013,Prevalence of carriage,PCV10S_NVT,288,0.3794466403162056
Israel,2013,Proportion of IPD,PCV10S_NVT,127,0.8466666666666668
Israel,2014,Prevalence of carriage,PCV10S_NVT,308,0.3480225988700566
Israel,2014,Proportion of IPD,PCV10S_NVT,122,0.8413793103448277
Israel,2015,Prevalence of carriage,PCV10S_NVT,340,0.2951388888888889
Israel,2015,Proportion of IPD,PCV10S_NVT,128,0.9411764705882348
Israel,2016,Prevalence of carriage,PCV10S_NVT,201,0.3582887700534758
Israel,2016,Proportion of IPD,PCV10S_NVT,75,0.8823529411764705
Malawi,2009,Proportion of IPD,PCV10S_NVT,142,0.4999999999999999
Malawi,2010,Proportion of IPD,PCV10S_NVT,38,0.3584905660377358
Malawi,2011,Proportion of IPD,PCV10S_NVT,6,0.2857142857142857
Malawi,2012,Proportion of IPD,PCV10S_NVT,1,0.25
Malawi,2013,Proportion of IPD,PCV10S_NVT,11,1
Malawi,2014,Proportion of IPD,PCV10S_NVT,206,0.7383512544802868
Malawi,2015,Prevalence of carriage,PCV10S_NVT,249,0.6657754010695187
Malawi,2015,Proportion of IPD,PCV10S_NVT,39,0.6842105263157896
Malawi,2016,Prevalence of carriage,PCV10S_NVT,451,0.6246537396121882
Malawi,2016,Proportion of IPD,PCV10S_NVT,451,0.8210152752666094
Malawi,2017,Prevalence of carriage,PCV10S_NVT,927,0.6267748478701826
Malawi,2017,Proportion of IPD,PCV10S_NVT,927,0.7576559599356688
Malawi,2018,Prevalence of carriage,PCV10S_NVT,808,0.6149162861491628
Malawi,2018,Proportion of IPD,PCV10S_NVT,808,0.7480960924320125
Malawi,2019,Prevalence of carriage,PCV10S_NVT,273,0.2666015625
Malawi,2019,Proportion of IPD,PCV10S_NVT,273,0.474755062577786
South Africa,2005,Prevalence of carriage,PCV10S_NVT,241.5,0.35140866568310575
South Africa,2005,Proportion of IPD,PCV10S_NVT,241.5,0.1989291598023065
South Africa,2006,Prevalence of carriage,PCV10S_NVT,231,0.35166754314739523
South Africa,2006,Proportion of IPD,PCV10S_NVT,231,0.2148837209302326
South Africa,2007,Prevalence of carriage,PCV10S_NVT,225,0.34567682867062843
South Africa,2007,Proportion of IPD,PCV10S_NVT,225,0.20852641334569036
South Africa,2008,Prevalence of carriage,PCV10S_NVT,209,0.33305606076481986
South Africa,2008,Proportion of IPD,PCV10S_NVT,209,0.19086757990867584
South Africa,2009,Prevalence of carriage,PCV10S_NVT,207,0.3371944711406644
South Africa,2009,Proportion of IPD,PCV10S_NVT,207,0.20597014925373142
South Africa,2010,Prevalence of carriage,PCV10S_NVT,153,0.4073519512140304
South Africa,2010,Proportion of IPD,PCV10S_NVT,153,0.23574730354391368
South Africa,2011,Prevalence of carriage,PCV10S_NVT,165,0.48982125576090624
South Africa,2011,Proportion of IPD,PCV10S_NVT,165,0.35560344827586204
South Africa,2012,Prevalence of carriage,PCV10S_NVT,182,0.588924058747868
South Africa,2012,Proportion of IPD,PCV10S_NVT,182,0.512676056338028
South Africa,2013,Prevalence of carriage,PCV10S_NVT,230,0.6375502127392757
South Africa,2013,Proportion of IPD,PCV10S_NVT,230,0.7187500000000002
South Africa,2014,Prevalence of carriage,PCV10S_NVT,227,0.6522955099430341
South Africa,2014,Proportion of IPD,PCV10S_NVT,227,0.7591973244147154
South Africa,2015,Prevalence of carriage,PCV10S_NVT,182,0.6650331445503166
South Africa,2015,Proportion of IPD,PCV10S_NVT,182,0.8425925925925926
South Africa,2016,Prevalence of carriage,PCV10S_NVT,187,0.666004356761271
South Africa,2016,Proportion of IPD,PCV10S_NVT,187,0.8165938864628821
South Africa,2017,Prevalence of carriage,PCV10S_NVT,164.5,0.6664940454081664
South Africa,2017,Proportion of IPD,PCV10S_NVT,164.5,0.839285714285714
South Africa,2018,Prevalence of carriage,PCV10S_NVT,121,0.6412275549115826
South Africa,2018,Proportion of IPD,PCV10S_NVT,121,0.75625
South Africa,2019,Prevalence of carriage,PCV10S_NVT,138,0.655999775130685
South Africa,2019,Proportion of IPD,PCV10S_NVT,138,0.8214285714285714
Brazil,2005,Proportion of IPD,PCV13_NVT,29,0.11462450592885375
Brazil,2006,Proportion of IPD,PCV13_NVT,43,0.13650793650793658
Brazil,2007,Proportion of IPD,PCV13_NVT,24,0.07792207792207793
Brazil,2008,Proportion of IPD,PCV13_NVT,34,0.11147540983606559
Brazil,2009,Proportion of IPD,PCV13_NVT,23,0.12568306010928965
Brazil,2010,Prevalence of carriage,PCV13_NVT,66.5,0.13273453093812376
Brazil,2010,Proportion of IPD,PCV13_NVT,38,0.16379310344827583
Brazil,2011,Proportion of IPD,PCV13_NVT,59,0.2796208530805686
Brazil,2012,Proportion of IPD,PCV13_NVT,66,0.38150289017341027
Brazil,2013,Prevalence of carriage,PCV13_NVT,151.5,0.37875000000000003
Brazil,2013,Proportion of IPD,PCV13_NVT,75,0.4838709677419355
Brazil,2014,Proportion of IPD,PCV13_NVT,56,0.4307692307692308
Brazil,2015,Proportion of IPD,PCV13_NVT,82,0.5774647887323942
Brazil,2016,Proportion of IPD,PCV13_NVT,80,0.54421768707483
Brazil,2017,Prevalence of carriage,PCV13_NVT,263.5,0.4962335216572505
Brazil,2017,Proportion of IPD,PCV13_NVT,75,0.47770700636942676
Brazil,2018,Proportion of IPD,PCV13_NVT,72,0.4390243902439025
Brazil,2019,Proportion of IPD,PCV13_NVT,82,0.4408602150537633
Israel,2009,Prevalence of carriage,PCV13_NVT,20,0.19801980198019803
Israel,2009,Proportion of IPD,PCV13_NVT,17,0.16831683168316833
Israel,2010,Prevalence of carriage,PCV13_NVT,300,0.2770083102493074
Israel,2010,Proportion of IPD,PCV13_NVT,63,0.28125
Israel,2011,Prevalence of carriage,PCV13_NVT,263,0.33123425692695213
Israel,2011,Proportion of IPD,PCV13_NVT,81,0.32793522267206476
Israel,2012,Prevalence of carriage,PCV13_NVT,258,0.33376455368693403
Israel,2012,Proportion of IPD,PCV13_NVT,83,0.5886524822695037
Israel,2013,Prevalence of carriage,PCV13_NVT,283,0.37285902503293816
Israel,2013,Proportion of IPD,PCV13_NVT,118,0.7866666666666668
Israel,2014,Prevalence of carriage,PCV13_NVT,302,0.34124293785310744
Israel,2014,Proportion of IPD,PCV13_NVT,115,0.7931034482758623
Israel,2015,Prevalence of carriage,PCV13_NVT,334,0.2899305555555555
Israel,2015,Proportion of IPD,PCV13_NVT,126,0.9264705882352937
Israel,2016,Prevalence of carriage,PCV13_NVT,196,0.3493761140819963
Israel,2016,Proportion of IPD,PCV13_NVT,74,0.8705882352941176
Malawi,2009,Proportion of IPD,PCV13_NVT,119,0.41901408450704214
Malawi,2010,Proportion of IPD,PCV13_NVT,32,0.3018867924528302
Malawi,2011,Proportion of IPD,PCV13_NVT,4,0.19047619047619047
Malawi,2012,Proportion of IPD,PCV13_NVT,1,0.25
Malawi,2013,Proportion of IPD,PCV13_NVT,9,0.8181818181818182
Malawi,2014,Proportion of IPD,PCV13_NVT,200,0.7168458781362007
Malawi,2015,Prevalence of carriage,PCV13_NVT,231,0.6176470588235294
Malawi,2015,Proportion of IPD,PCV13_NVT,38,0.6666666666666667
Malawi,2016,Prevalence of carriage,PCV13_NVT,410,0.5678670360110802
Malawi,2016,Proportion of IPD,PCV13_NVT,410,0.8106441651775127
Malawi,2017,Prevalence of carriage,PCV13_NVT,881,0.5956727518593644
Malawi,2017,Proportion of IPD,PCV13_NVT,881,0.7505897114225983
Malawi,2018,Prevalence of carriage,PCV13_NVT,780,0.593607305936073
Malawi,2018,Proportion of IPD,PCV13_NVT,780,0.7440451455517805
Malawi,2019,Prevalence of carriage,PCV13_NVT,257,0.2509765625
Malawi,2019,Proportion of IPD,PCV13_NVT,257,0.4721697292341802
South Africa,2005,Prevalence of carriage,PCV13_NVT,179,0.34348519923584264
South Africa,2005,Proportion of IPD,PCV13_NVT,179,0.14744645799011533
South Africa,2006,Prevalence of carriage,PCV13_NVT,157,0.3418127885759195
South Africa,2006,Proportion of IPD,PCV13_NVT,157,0.146046511627907
South Africa,2007,Prevalence of carriage,PCV13_NVT,156,0.3372363306813222
South Africa,2007,Proportion of IPD,PCV13_NVT,156,0.144578313253012
South Africa,2008,Prevalence of carriage,PCV13_NVT,152,0.32432945122893003
South Africa,2008,Proportion of IPD,PCV13_NVT,152,0.13881278538812789
South Africa,2009,Prevalence of carriage,PCV13_NVT,146,0.3278312644566068
South Africa,2009,Proportion of IPD,PCV13_NVT,146,0.14527363184079609
South Africa,2010,Prevalence of carriage,PCV13_NVT,118.5,0.399820074262043
South Africa,2010,Proportion of IPD,PCV13_NVT,118.5,0.1825885978428351
South Africa,2011,Prevalence of carriage,PCV13_NVT,134,0.4803073742487822
South Africa,2011,Proportion of IPD,PCV13_NVT,134,0.28879310344827586
South Africa,2012,Prevalence of carriage,PCV13_NVT,166,0.5831835960942644
South Africa,2012,Proportion of IPD,PCV13_NVT,166,0.4676056338028168
South Africa,2013,Prevalence of carriage,PCV13_NVT,213,0.6316616305871893
South Africa,2013,Proportion of IPD,PCV13_NVT,213,0.6656250000000001
South Africa,2014,Prevalence of carriage,PCV13_NVT,217,0.649318025786487
South Africa,2014,Proportion of IPD,PCV13_NVT,217,0.7257525083612038
South Africa,2015,Prevalence of carriage,PCV13_NVT,171,0.6591451202117371
South Africa,2015,Proportion of IPD,PCV13_NVT,171,0.7916666666666665
South Africa,2016,Prevalence of carriage,PCV13_NVT,175,0.6609315660968924
South Africa,2016,Proportion of IPD,PCV13_NVT,175,0.7641921397379913
South Africa,2017,Prevalence of carriage,PCV13_NVT,152.5,0.6577510675335722
South Africa,2017,Proportion of IPD,PCV13_NVT,152.5,0.7780612244897958
South Africa,2018,Prevalence of carriage,PCV13_NVT,115,0.6358258357083693
South Africa,2018,Proportion of IPD,PCV13_NVT,115,0.71875
South Africa,2019,Prevalence of carriage,PCV13_NVT,129,0.6489869681919158
South Africa,2019,Proportion of IPD,PCV13_NVT,129,0.7678571428571429
Brazil,2005,Proportion of IPD,PCV15_NVT,29,0.11462450592885375
Brazil,2006,Proportion of IPD,PCV15_NVT,40,0.12698412698412703
Brazil,2007,Proportion of IPD,PCV15_NVT,20,0.06493506493506494
Brazil,2008,Proportion of IPD,PCV15_NVT,34,0.11147540983606559
Brazil,2009,Proportion of IPD,PCV15_NVT,21,0.11475409836065577
Brazil,2010,Prevalence of carriage,PCV15_NVT,66.5,0.13273453093812376
Brazil,2010,Proportion of IPD,PCV15_NVT,35,0.1508620689655172
Brazil,2011,Proportion of IPD,PCV15_NVT,58,0.2748815165876777
Brazil,2012,Proportion of IPD,PCV15_NVT,61,0.35260115606936404
Brazil,2013,Prevalence of carriage,PCV15_NVT,148.5,0.37125
Brazil,2013,Proportion of IPD,PCV15_NVT,71,0.45806451612903226
Brazil,2014,Proportion of IPD,PCV15_NVT,51,0.39230769230769236
Brazil,2015,Proportion of IPD,PCV15_NVT,79,0.5563380281690139
Brazil,2016,Proportion of IPD,PCV15_NVT,77,0.5238095238095238
Brazil,2017,Prevalence of carriage,PCV15_NVT,259.5,0.48870056497175146
Brazil,2017,Proportion of IPD,PCV15_NVT,72,0.4585987261146497
Brazil,2018,Proportion of IPD,PCV15_NVT,68,0.4146341463414635
Brazil,2019,Proportion of IPD,PCV15_NVT,78,0.41935483870967727
Israel,2009,Prevalence of carriage,PCV15_NVT,20,0.19801980198019803
Israel,2009,Proportion of IPD,PCV15_NVT,15,0.1485148514851485
Israel,2010,Prevalence of carriage,PCV15_NVT,286,0.2640812557710064
Israel,2010,Proportion of IPD,PCV15_NVT,58,0.25892857142857145
Israel,2011,Prevalence of carriage,PCV15_NVT,250,0.3148614609571789
Israel,2011,Proportion of IPD,PCV15_NVT,66,0.26720647773279355
Israel,2012,Prevalence of carriage,PCV15_NVT,246,0.31824062095730915
Israel,2012,Proportion of IPD,PCV15_NVT,78,0.5531914893617023
Israel,2013,Prevalence of carriage,PCV15_NVT,271,0.35704874835309625
Israel,2013,Proportion of IPD,PCV15_NVT,104,0.6933333333333335
Israel,2014,Prevalence of carriage,PCV15_NVT,293,0.3310734463276837
Israel,2014,Proportion of IPD,PCV15_NVT,105,0.7241379310344829
Israel,2015,Prevalence of carriage,PCV15_NVT,321,0.2786458333333333
Israel,2015,Proportion of IPD,PCV15_NVT,106,0.7794117647058819
Israel,2016,Prevalence of carriage,PCV15_NVT,185,0.3297682709447414
Israel,2016,Proportion of IPD,PCV15_NVT,62,0.7294117647058822
Malawi,2009,Proportion of IPD,PCV15_NVT,119,0.41901408450704214
Malawi,2010,Proportion of IPD,PCV15_NVT,32,0.3018867924528302
Malawi,2011,Proportion of IPD,PCV15_NVT,4,0.19047619047619047
Malawi,2012,Proportion of IPD,PCV15_NVT,1,0.25
Malawi,2013,Proportion of IPD,PCV15_NVT,9,0.8181818181818182
Malawi,2014,Proportion of IPD,PCV15_NVT,198,0.7096774193548389
Malawi,2015,Prevalence of carriage,PCV15_NVT,230,0.6149732620320856
Malawi,2015,Proportion of IPD,PCV15_NVT,38,0.6666666666666667
Malawi,2016,Prevalence of carriage,PCV15_NVT,406,0.5623268698060941
Malawi,2016,Proportion of IPD,PCV15_NVT,406,0.8068955800358149
Malawi,2017,Prevalence of carriage,PCV15_NVT,881,0.5956727518593644
Malawi,2017,Proportion of IPD,PCV15_NVT,881,0.7498232553558204
Malawi,2018,Prevalence of carriage,PCV15_NVT,780,0.593607305936073
Malawi,2018,Proportion of IPD,PCV15_NVT,780,0.7432048879058124
Malawi,2019,Prevalence of carriage,PCV15_NVT,254,0.248046875
Malawi,2019,Proportion of IPD,PCV15_NVT,254,0.46948377664264085
South Africa,2005,Prevalence of carriage,PCV15_NVT,178,0.3416421387123811
South Africa,2005,Proportion of IPD,PCV15_NVT,178,0.14662273476112028
South Africa,2006,Prevalence of carriage,PCV15_NVT,151,0.33666310054569565
South Africa,2006,Proportion of IPD,PCV15_NVT,151,0.1404651162790698
South Africa,2007,Prevalence of carriage,PCV15_NVT,152,0.33315558634021586
South Africa,2007,Proportion of IPD,PCV15_NVT,152,0.14087117701575527
South Africa,2008,Prevalence of carriage,PCV15_NVT,144,0.31762614590273675
South Africa,2008,Proportion of IPD,PCV15_NVT,144,0.13150684931506854
South Africa,2009,Prevalence of carriage,PCV15_NVT,140,0.3221645120599318
South Africa,2009,Proportion of IPD,PCV15_NVT,140,0.13930348258706474
South Africa,2010,Prevalence of carriage,PCV15_NVT,115.5,0.3950502126254815
South Africa,2010,Proportion of IPD,PCV15_NVT,115.5,0.17796610169491522
South Africa,2011,Prevalence of carriage,PCV15_NVT,126,0.4688024160336857
South Africa,2011,Proportion of IPD,PCV15_NVT,126,0.271551724137931
South Africa,2012,Prevalence of carriage,PCV15_NVT,161,0.5753884090055131
South Africa,2012,Proportion of IPD,PCV15_NVT,161,0.4535211267605633
South Africa,2013,Prevalence of carriage,PCV15_NVT,207,0.6233895914832288
South Africa,2013,Proportion of IPD,PCV15_NVT,207,0.6468750000000001
South Africa,2014,Prevalence of carriage,PCV15_NVT,212,0.6419351173477886
South Africa,2014,Proportion of IPD,PCV15_NVT,212,0.7090301003344479
South Africa,2015,Prevalence of carriage,PCV15_NVT,165,0.6488486184033492
South Africa,2015,Proportion of IPD,PCV15_NVT,165,0.7638888888888888
South Africa,2016,Prevalence of carriage,PCV15_NVT,169,0.651138025702296
South Africa,2016,Proportion of IPD,PCV15_NVT,169,0.7379912663755458
South Africa,2017,Prevalence of carriage,PCV15_NVT,147.5,0.6472759863230555
South Africa,2017,Proportion of IPD,PCV15_NVT,147.5,0.7525510204081634
South Africa,2018,Prevalence of carriage,PCV15_NVT,112,0.6264457694396998
South Africa,2018,Proportion of IPD,PCV15_NVT,112,0.7
South Africa,2019,Prevalence of carriage,PCV15_NVT,127,0.642227221606766
South Africa,2019,Proportion of IPD,PCV15_NVT,127,0.7559523809523809
Brazil,2005,Proportion of IPD,PCV20_NVT,21,0.08300395256916997
Brazil,2006,Proportion of IPD,PCV20_NVT,25,0.07936507936507937
Brazil,2007,Proportion of IPD,PCV20_NVT,16,0.05194805194805196
Brazil,2008,Proportion of IPD,PCV20_NVT,27,0.08852459016393444
Brazil,2009,Proportion of IPD,PCV20_NVT,12,0.06557377049180328
Brazil,2010,Prevalence of carriage,PCV20_NVT,56.5,0.11277445109780439
Brazil,2010,Proportion of IPD,PCV20_NVT,21,0.09051724137931035
Brazil,2011,Proportion of IPD,PCV20_NVT,43,0.20379146919431274
Brazil,2012,Proportion of IPD,PCV20_NVT,46,0.26589595375722536
Brazil,2013,Prevalence of carriage,PCV20_NVT,119.5,0.29875
Brazil,2013,Proportion of IPD,PCV20_NVT,58,0.3741935483870968
Brazil,2014,Proportion of IPD,PCV20_NVT,31,0.23846153846153847
Brazil,2015,Proportion of IPD,PCV20_NVT,60,0.42253521126760557
Brazil,2016,Proportion of IPD,PCV20_NVT,54,0.3673469387755103
Brazil,2017,Prevalence of carriage,PCV20_NVT,209.33333333333331,0.39422473320778406
Brazil,2017,Proportion of IPD,PCV20_NVT,53,0.3375796178343949
Brazil,2018,Proportion of IPD,PCV20_NVT,55,0.33536585365853666
Brazil,2019,Proportion of IPD,PCV20_NVT,60,0.32258064516129026
Israel,2009,Prevalence of carriage,PCV20_NVT,17,0.16831683168316833
Israel,2009,Proportion of IPD,PCV20_NVT,10,0.09900990099009901
Israel,2010,Prevalence of carriage,PCV20_NVT,231,0.21329639889196672
Israel,2010,Proportion of IPD,PCV20_NVT,33.5,0.1495535714285714
Israel,2011,Prevalence of carriage,PCV20_NVT,202,0.2544080604534006
Israel,2011,Proportion of IPD,PCV20_NVT,27,0.10931174089068824
Israel,2012,Prevalence of carriage,PCV20_NVT,208,0.26908150064683056
Israel,2012,Proportion of IPD,PCV20_NVT,29,0.20567375886524825
Israel,2013,Prevalence of carriage,PCV20_NVT,226.5,0.29841897233201586
Israel,2013,Proportion of IPD,PCV20_NVT,48.5,0.3233333333333333
Israel,2014,Prevalence of carriage,PCV20_NVT,242,0.2734463276836159
Israel,2014,Proportion of IPD,PCV20_NVT,51,0.35172413793103446
Israel,2015,Prevalence of carriage,PCV20_NVT,259.5,0.22526041666666669
Israel,2015,Proportion of IPD,PCV20_NVT,55,0.4044117647058823
Israel,2016,Prevalence of carriage,PCV20_NVT,141,0.25133689839572193
Israel,2016,Proportion of IPD,PCV20_NVT,31,0.36470588235294116
Malawi,2009,Proportion of IPD,PCV20_NVT,101,0.3556338028169013
Malawi,2010,Proportion of IPD,PCV20_NVT,30,0.2830188679245283
Malawi,2011,Proportion of IPD,PCV20_NVT,2,0.09523809523809523
Malawi,2013,Proportion of IPD,PCV20_NVT,7,0.6363636363636364
Malawi,2014,Proportion of IPD,PCV20_NVT,162,0.5806451612903227
Malawi,2015,Prevalence of carriage,PCV20_NVT,197,0.5267379679144385
Malawi,2015,Proportion of IPD,PCV20_NVT,31,0.5438596491228069
Malawi,2016,Prevalence of carriage,PCV20_NVT,368,0.5096952908587258
Malawi,2016,Proportion of IPD,PCV20_NVT,368,0.6612476420290793
Malawi,2017,Prevalence of carriage,PCV20_NVT,867,0.5862068965517241
Malawi,2017,Proportion of IPD,PCV20_NVT,867,0.7149296503854038
Malawi,2018,Prevalence of carriage,PCV20_NVT,780,0.593607305936073
Malawi,2018,Proportion of IPD,PCV20_NVT,780,0.7376907825390641
Malawi,2019,Prevalence of carriage,PCV20_NVT,213,0.2080078125
Malawi,2019,Proportion of IPD,PCV20_NVT,213,0.37110283983218867
South Africa,2005,Prevalence of carriage,PCV20_NVT,122.5,0.294724671517996
South Africa,2005,Proportion of IPD,PCV20_NVT,122.5,0.10090609555189455
South Africa,2006,Prevalence of carriage,PCV20_NVT,99,0.2716146969778128
South Africa,2006,Proportion of IPD,PCV20_NVT,99,0.09209302325581399
South Africa,2007,Prevalence of carriage,PCV20_NVT,103,0.2894565058333724
South Africa,2007,Proportion of IPD,PCV20_NVT,103,0.0954587581093605
South Africa,2008,Prevalence of carriage,PCV20_NVT,97.5,0.2769961325488571
South Africa,2008,Proportion of IPD,PCV20_NVT,97.5,0.08904109589041095
South Africa,2009,Prevalence of carriage,PCV20_NVT,95.5,0.280239088422833
South Africa,2009,Proportion of IPD,PCV20_NVT,95.5,0.09502487562189056
South Africa,2010,Prevalence of carriage,PCV20_NVT,76,0.34162169901298955
South Africa,2010,Proportion of IPD,PCV20_NVT,76,0.11710323574730355
